Material;Texto breve material
4002357;DEXCLORFENIRAMINA XPE
4002358;DROPROPIZINA XPE
4002362;LOSARTANA+HID 100+25MG
4002364;PANTOPRAZOL 40MG
4002365;PANTOPRAZOL 20MG
4002368;PRAVASTATINA SOD
4002371;TADALAFILA 5MG
4002372;ESOMEPRAZOL 20MG
4002373;ESOMEPRAZOL 20MG
4002374;VALSARTANA 160MG
4002375;VALSARTANA 320MG
4002379;ZARMINE 100MG
4002381;ZARMINE 25MG
4002383;ZARMINE 50MG
4002386;PYLORIPAC C/56CP
4002388;VALTRIAN HCT
4002389;VALTRIAN HCT
4002391;OSTEONUTRI 600
4002392;ADAPALENO 1MG/G
4002393;AMOXICILINA 400MG
4002394;AMOXICILINA 500MG
4002395;AMOXICILINA 500MG
4002396;AMOXICILINA 875MG
4002397;AMOXICILINA+CLAV 875+125MG
4002401;ATORVASTATINA CALCICA
4002403;AZITROMICINA SUSP
4002404;AZITROMICINA SUSP
4002405;AZITROMICINA SUSP
4002409;CICLOBENZAPRINA 5MG
4002410;CIPROFLOXACINO 500MG
4002411;DOMPERIDONA 10MG
4002412;ITRACONAZOL 100MG
4002413;LOSARTANA POTASSICO
4002416;LOSARTANA+HID 50+12,5MG
4002418;PARACETAMOL+CODEINA C/24CP
4002421;SIBUTRAMINA 10MG
4002422;SIBUTRAMINA 15MG
4002423;TRIANCINOLONA EM
4002425;OLMESARTANA HIDRO
4002426;OLMESARTANA HIDRO
4002427;OLMESARTANA HIDRO
4002430;ESPERSON-N POMADA
4002431;COLIRIO MOURA
4002437;DECONGEX PLUS
4002438;FLOGORAL PAST
4002439;FLOGORAL PAST
4002440;FOXIS 200
4002441;FOXIS 200
4002442;HIDROCIN NEBULES
4002443;IRRITRATIL 200MG
4002444;ACEBROFILINA XPE
4002450;ADAPEL 0,1
4002451;ADVANTAN CREME
4002452;ADVANTAN LOCAO
4002453;ADVANTAN SOL
4002454;AIXA C/21CP
4002456;ALEKTOS 20MG
4002457;ALEKTOS 20MG
4002458;AMILIA TALCO
4002459;ANDROSTEN 94MG
4002460;ANDROSTEN UNO
4002461;APEVITIN B+C
4002463;ARTICO 1,5G+1,2G
4002464;BISMU-JET 20ML
4002465;CALMAN C/20CP
4002466;CALMAN LIQ
4002467;CARTIGEN C
4002468;CELAMINA ULTRA
4002469;CETRILAN CRM
4002471;SAB CETRILAN
4002477;COMBIGAN SOL
4002478;COMBODART 0,5/0,4MG
4002479;CONDRES COLAGENO
4002480;CUTISANOL PO
4002481;CUTISANOL GEL
4002482;DALYNE C/21CP
4002483;DIPROSALIC POMADA
4002488;ESOGASTRO IBP
4002489;ESOMEX 40MG
4002490;ESOMEX 40MG
4002491;FILINAR G
4002492;FOLIFER C/30CP
4002496;FORTEVIRON 250MG
4002497;GABALLON C/20CP
4002499;GAMALINE-V C/30CP
4002500;GANFORT COLIRIO
4002501;GASTROL LIQ
4002505;GYNOTRAN OVULO
4002506;HIDRAKIDS                               
4002507;IMECAP HAIR
4002509;IMECAP REJUVENESCIMENTO
4002512;KERIUM DS
4002513;KOLLAGENASE C/CLOR
4002514;KOLLAGENASE C/CLORAFENICOL
4002515;KOLLAGENASE C/CLORAFENICOL
4002517;LACRIFILM COLIRIO
4002518;LACRIFILM SOL
4002519;LANIDRAT CREME
4002520;MAXIMUS A-Z
4002521;MEDICASP SHAMPOO
4002522;MOTORE 250MG
4002523;MOTORE 250MG
4002524;NARIDRIN SOL
4002525;NARIDRIN SOL
4002526;NATUS GERIN
4002527;NEODIA 1,5MG
4002529;NERVOCALM 250MG
4002530;NUTRIFAN SOLUÃÃO
4002531;OMNARIS 50MCG
4002532;OMNIC OCAS
4002533;OMNIC OCAS
4002534;OVESTRION 1MG
4002535;OVESTRION 2MG
4002536;OVESTRION CREME
4002537;PANTOGAR C/
4002538;PASALIX                                 
4002539;PERCOF XPE
4002540;PRELONE FOS.3MG
4002541;QLAIRA C/28CP
4002542;RABEPRAZOL SODICO
4002544;REGENESIS C/
4002545;REGENESIS C/
4002546;RETEMIC 5MG
4002547;SANDRENA GEL
4002548;SANDRENA GEL
4002550;SEPURIN 120+20MG
4002551;SIMBIOFLORA C/15EVX6G
4002552;SINERGEN 5/10MG
4002553;SUAVICID CREME
4002556;UMCKAN SOLUCAO
4002557;VARICELL PHYTO
4002558;VASTAREL MR
4002559;VERRUX FR
4002562;XALATAN 50MCG
4002563;XIGDUO XR
4002564;REUQUINOL 400MG
4002566;GEL DUOFILM
4002567;DEPURA 500
4002568;ONCILEG POMADA
4002569;NIMESULIX 50MG
4002570;TROK-G CREME
4002571;TROK-G POMADA
4002572;VERUTEX 20MG
4002573;VERUTEX B
4002574;BABYDRAX 27,9G
4002576;BIO C
4002577;BIO E
4002578;BIO EPA
4002579;BIOARGI CX
4002580;DOXAPROST 2MG
4002581;DOXAPROST 4MG
4002582;ECOS XAROPE
4002583;FERID POM
4002584;FERISEPT 10MG/ML
4002585;FERISEPT 10MG/ML
4002587;HISTADIN 10
4002588;LEIBA C/12CAPS
4002589;LEIBA LARANJA
4002590;LEIBA OD
4002592;MAMYDRAT LOCAO
4002593;MAMYLAN BG
4002594;NAXOTEC 250MG
4002595;NAXOTEC 500MG
4002596;PERFENOL CAP
4002599;UNIPRAZOL 20MG
4002601;UREPEL 10%
4002604;VITA SUPRAZ
4002605;VODOL AEROSSOL
4002606;VODOL PREVENT
4002607;VODOL PREVENT
4002608;VODOL PREVENT
4002609;VODOL PREVENT
4002610;VODOL PREVENT
4002611;NENE DENT
4002630;INFLALID GTS
4002631;MICOZEN LOC
4002632;AMOXICILINA-GEN 500MG
4002633;ALPRAZOLAM-GEN 0,25MG
4002634;CITALOPRAM-GEN 20MG
4002635;ASSEPMED SPRAY
4002636;TINIDAZOL+MICONZOL-GEN CR
4002637;PANTOPRAZOL-GEN 20MG
4002638;FENOFIBRATO-GEN 200MG
4002639;AMOXICILINA+CLAV POT-GEN
4002640;DEXCLORF+BETAM-GEN FRASCO
4002641;DEXCLORF+BETAM-GEN XPE
4002643;CICLOFEMME 21DRAG
4002645;VITAMINA C
4002646;CEFALEXINA-GEN 500MG
4002650;FENOFIBRATO 200MG
4002651;TINIDAZOL+MICONAZOL CR
4002652;EXELON 1,5MG
4002653;PURAN T4
4002660;NAPRIX 2,5MG
4002661;NAPRIX 5MG
4002662;NAPRIX A
4002663;NAPRIX A
4002664;NAPRIX A
4002665;NAPRIX D
4002666;NAPRIX D
4002667;ICTUS 25MG
4002669;IXIUM 50MG/G
4002670;JARDIANCE 25MG
4002671;LABIRIN 8MG
4002672;LEVOID 38MCG
4002673;PROVERA 10MG
4002674;TAPAZOL 5MG
4002675;VASOGARD 100MG
4002676;VASOGARD 50MG
4002677;PIEMONTE 4MG
4002678;PIEMONTE 5MG
4002679;VICOG ADT
4002680;NATRILIX SR
4002681;NOVANLO 2,5MG
4002682;MIOSAN 5MG
4002683;MIOSAN 5MG
4002684;MIOSAN 10MG
4002685;MIOSAN 10MG
4002686;MESACOL 400MG
4002687;MESACOL ADT
4002688;MESACOL ADT
4002690;ICTUS 3,125MG
4002691;PRAZOL 15MG
4002692;EXELON 2MG
4002693;AMYTRIL 10
4002694;GEL CLINDOXYL
4002700;ANGIPRESS 50MG
4002701;BUSONID AEROSOL
4002702;BUSONID 200MCG
4002703;BUSONID 400MCG
4002704;EUPRESSIN 2,5MG
4002705;EUPRESSIN 5MG
4002706;EUPRESSIN 10MG
4002718;RUPAFIN 10MG
4002722;DERMOMAX 4PC
4002723;NOOTRON 400MG
4002724;NOOTRON SOL
4002725;BUSONID 200MCG
4002727;BUSONID AQUOSO
4002729;BUSONID 400MCG
4002731;MAXAPRAN 20MG
4002732;TOLREST 75MG
4002733;TOLREST 100MG
4002736;CORDAREX 10MG
4002737;ZARGUS 1MG
4002738;ZARGUS 2MG
4002739;TOLREST 25MG
4002740;AXONIUM 2,5MG
4002741;AXONIUM 5MG
4002742;AXONIUM 10MG
4002743;NIMESULIDA 100MG
4002744;PIROXICAM 20MG
4002746;BROMAZEPAM 6MG
4002751;ACICLOVIR CREME
4002755;ENALAPRIL 20MG
4002756;ENALAPRIL 5MG
4002757;FUROSEMIDA 40MG
4002759;LINCOMICINA 600MG
4002760;METRONIDAZOL GEL
4002761;MICONAZOL LOCAO
4002765;ORLISTATE 120MG
4002767;PANTOPRAZOL 40MG
4002770;TIBOLONA 2,5MG
4002771;VALSARTANA 320MG
4002774;ALENDRONATO DE
4002776;ANLODIPINO 10MG
4002777;ATENOLOL 50MG
4002779;ATENOLOL 25MG
4002781;AZITROMICINA 500MG
4002784;BETAMETASONA SOLUCAO
4002785;BETAMETASONA VAL
4002788;BRIMONIDINA 2MG
4002793;CAPTOPRIL 50MG
4002801;CICLOBENZAPRINA 10MG
4002802;CICLOBENZAPRINA 5MG
4002806;CIPROFLOXACINO 500MG
4002808;CLO SERTRALINA
4002809;CLOPIDOGREL 75MG
4002810;CLOPIDOGREL 75MG
4002813;DEXCLORFENIRAMINA 2MG
4002817;DICLOFENACO SODICO
4002819;DROPROPIZINA XPE
4002823;FUROSEMIDA 40MG
4002825;HIDROCLOROTIAZIDA 25MG
4002826;HIDROCLOROTIAZIDA 50MG
4002828;IBUPROFENO 400MG
4002829;IBUPROFENO 50MG/ML
4002830;LORATADINA 10MG
4002833;MESALAZINA 400MG
4002835;METOPROLOL XR
4002839;NIMESULIDA GEL
4002843;OMEPRAZOL 20MG
4002844;OMEPRAZOL 20MG
4002849;PARACETAMOL 750MG
4002852;PARACETAMOL GTS
4002853;PIROXICAM 20MG
4002855;PREDNISONA 5MG
4002857;SOTALOL 120MG
4002858;SOTALOL 160MG
4002859;TADALAFILA 20MG
4002860;TADALAFILA 5MG
4002861;TIOCONAZOL+TINIDAZOL 35G+7APLI
4002862;TOBRAMICINA 3MG/ML
4002863;VALSARTANA 160MG
4002864;VALSARTANA 80MG
4002867;ISOTRETINOINA 20MG
4002868;NIMESULIDA 100MG
4002869;TIBOLONA 2,5MG
4002870;LORATADINA XPE
4002871;FENOTEROL BROMIDRATO
4002872;ENALAPRIL 5MG
4002873;ENALAPRIL 10MG
4002874;ENALAPRIL 20MG
4002875;SALBUTAMOL SULF
4002876;CLINDAMICINA 300MG
4002878;AMINOFILINA 100MG
4002879;AMINOFILINA 200MG
4002880;DEXAMETASONA ELIXIR
4002881;LOSARTANA POTASSICO
4002882;LORATAD+PSEUD XPE
4002885;SULFADIAZINA PRATA
4002887;BACLOFENO 10MG
4002890;CLOTRIMAZOL CREM
4002900;PURAN T4
4002901;PURAN T4
4002902;ALLESTRA 20
4002910;HIDRAPLEX PO
4002911;DORENE 150MG
4002920;PARACETAMOL 750MG
4002922;DEXAMETASONA-GEN CR
4002923;NIMESULIDA-GEN 100MG
4002925;NISTATINA+OXIDO ZINC-GEN
4002926;PASTA DAGUA
4002927;PASTA DAGUA
4002928;AMOXICILINA-GEN 500MG
4002929;AMOXICILINA-GEN 500MG
4002930;CITALOPRAM-GEN 20MG
4002933;ESCITALOPRAM-GEN 10MG
4002934;TOPIRAMATO-GEN 50MG
4002935;TOPIRAMATO-GEN 50MG
4002937;ALBENDAZOL-GEN SUSP
4002938;ALBENDAZOL-GEN SUSP
4002940;COLFLEX 30
4002942;CISBERRY 200MG
4002943;ALIVIUM 400MG
4002944;ALIVIUM 400MG
4002945;ALIVIUM 600MG
4002950;20 BI
4002951;20 BI
4002953;BELLY 500MG
4002954;CEBRALAT 100
4002955;CEBRALAT 50MG
4002956;CROMOLERG 2%
4002957;CROMOLERG 4%
4002958;DAIVOBET CREME
4002959;DOSE D
4002960;DOSE D
4002961;EQUILID 50MG
4002962;TRIANCIL INJ
4002964;INDUX C/10CAP
4002965;FLUIMUCIL ADULTO
4002968;CLOMID C/10CAP
4002970;BROMAZEPAM 3MG
4002983;PACO 500+30MG
4002984;ALERGIDEX XAROPE
4002990;ATENOLOL+CLO 50+12,5MG
4003000;CEFALEXINA 500MG
4003004;CELOCORT CREME
4003005;SVELIM 60CAP
4003006;FLOGO ROSA
4003010;FLATOL MAX
4003012;EPICITRIN POM
4003013;NAPRONAX 550MG
4003020;CICLOBENZAPRINA 10MG
4003021;ICTUS 25MG
4003022;ALBEL MAST
4003023;ALPHABRIN SOL
4003210;AMIORON 200MG
4003211;ARARTAN 50MG
4003212;BESILAPIN 10MG
4003213;BESILAPIN 5MG
4003214;BEXETON ELX
4003215;CAPOX 25MG
4003216;CAPOX 50MG
4003217;CELETIL XPE
4003220;CISTEIL 200MG
4003221;CISTEIL XPE
4003222;CISTEIL XPE
4003223;CIXIN 0,5MG
4003224;COLCHICINA 0,5MG
4003225;COLIRIO GEOLAB
4003226;DIMEFTAL 125MG
4003227;DIPRIN SOL
4003228;DIUREMIDA 40MG
4003229;DROTIZIN SOL
4003230;FELDANAX 20MG
4003232;FLUCANIL 150MG
4003233;FLUCANIL 150MG
4003234;FOLONIN 5MG
4003235;GLICAMIN 5MG
4003236;GLICEFOR 850MG
4003237;HYSTIN 2MG
4003238;HYSTIN SOL
4003239;IBUVIX 300MG
4003240;IBUVIX 400MG
4003241;IBUVIX 600MG
4003242;LANZOPEPT 30MG
4003244;LORITIL XPE
4003249;MIRACALCIO VIT-D
4003250;MIRACALCIO VIT-D
4003251;MIZONOL CREME
4003252;NIOXIL 20MG
4003253;NISOFLAN 100MG
4003254;NISOFLAN SUSP
4003255;OCUTIL SOL
4003256;ONCICREM-A ORABASE
4003258;POLOL 40MG
4003259;POLTAX 50MG
4003260;POLTAX FLAN
4003261;PRYLTEC 10MG
4003262;PRYLTEC 20MG
4003263;SINVAX 20MG
4003264;SINVAX 40MG
4003265;TELOL 25MG
4003266;TELOL 50MG
4003268;TITENIL 20MG
4003269;TRINODAZOL 100MG/G
4003270;TYLALGIN 750MG
4003271;TYLALGIN CAF
4003272;TYLALGIN SOL
4003273;ULTIDIN XPE
4003277;VALYANNE 50MG
4003278;VITACIN 1G
4003279;VITACIN 200MG/ML
4003280;VITAUM 300MG
4003281;VITAZINC EFERV
4003282;ZOLMICOL CRE
4003299;BROMIFEN GTS
4003303;CETILPLEX XPE
4003310;DORONA CAFI
4003312;DRAMAVIT B6
4003317;FLAVONID 450/50MG
4003321;FLUXON 75MG
4003322;GASTROL ABACAXI
4003323;GASTROL 20BLX10COMP
4003324;GASTROL 20PAST
4003325;GASTROL NATURAL
4003331;HECLIVIR 200MG
4003332;HECLIVIR CREME
4003335;HIPODERMON 45G
4003336;HISTAMIN CREME
4003337;HISTAMIN SUSP
4003338;IBUFRAN 300MG
4003339;IBUFRAN 400MG
4003340;IBUFRAN 600MG
4003341;IBUFRAN GTS
4003343;LIPOXEN 120MG
4003346;MASSAGEOL POMADA
4003347;MASSAGEOL POMADA
4003355;NEO FRESH
4003356;NEO LORATADIN
4003362;NEOFEDIPINA 10MG
4003363;NEOFEDIPINA 20MG
4003366;NEOITRAX 100MG
4003372;NEOMISTATIN CREME
4003374;NEOSSOLVAN PED
4003384;TERMOPIRONA 1G
4003394;VITAMINA B1
4003400;ANTI-SEPTICO ANESTESICO
4003410;FLANCOX 500MG
4003412;VERAPAMIL 80MG
4003420;HUMULIN 70N/30
4003441;ICTUS 3,125MG
4003470;NISTATINA+OXIDO ZINC
4003471;ALENDRONATO DE
4003490;LEVOTIROXINA 88MG
4003491;GUTTALAX GOTAS
4003502;ARIPIPRAZOL 15MG
4003510;AAS PROTECT
4003511;BETADINE 24
4003512;CENTRUM PRONUTRIENT
4003520;MESALAZINA 800MG
4003521;ALBENDAZOL-GEN SUSP
4003522;BROMOPRIDA 10MG
4003523;CARVEDILOL 25MG
4003525;CLOPIDOGREL 75MG
4003526;FLUCONAZOL 150MG
4003527;FUROSEMIDA 40MG
4003528;PANTOPRAZOL 20MG
4003530;DORIL ENXAQUECA
4003531;TAMARINE FIBRAS
4003533;CALTRATE D
4003534;STRESSTABS C/ZINCO
4003536;CENTRUM C/60CP
4003542;PROSSO C/30CP
4003543;ALOPURINOL 300MG
4003544;RISEDROSS 35MG
4003545;RISEDROSS 35MG
4003546;LACRIBELL COLIRIO
4003547;SUCRAFILM 1G
4003548;SUCRAFILM 2G
4003549;BENESTARE 625MG
4003551;DERMOSALIC POMADA
4003552;REVITAM PRIME
4003553;PROTOPIC POMADA
4003554;PROTOPIC POMADA
4003555;PROTOPIC POMADA
4003556;LACRILAX C/1FRX10ML
4003557;CONCOR 2,5MG
4003558;NEUTROFER PREV
4003559;OTO-XILODASE C/1FR
4003561;IMECAP CELLUT
4003562;IMECAP HAIR
4003563;IMECAP KIT
4003564;IMECAP KIT
4003565;MATHERLLY GEST
4003568;CLENIL NASAL
4003569;HELMILAB 20
4003570;SOMALGIN CARDIO
4003571;COSOPT SOL
4003572;GESTINOL C/28CP
4003573;FERANE 35
4003574;FERANE 35
4003575;MICRODIOL 150/30MCG
4003576;DORICAL C/50CP
4003577;DORICAL KIDS
4003578;EMSCORT CREME
4003580;PROCORALAN 5MG
4003583;AMOXICILINA 500MG
4003584;AMOXICILINA 500MG
4003585;IBUPROFENO 50MG/ML
4003586;NISTATINA CR
4003587;NISTATINA SUSPORAL100.000UI
4003589;SULFAMET+TRIM 40+8MG/MLSUSP100ML-TEUTO
4003590;ULTIBRO 30CAPS
4003600;CEFALEXINA 500MG
4003601;CETOCONAZOL+BETAMET CR
4003602;CETOCONAZOL+BETAMET POM
4003603;CETOCONAZOL+BETAMET+NEOM CR
4003604;CETOCONAZOL+BETAMET+NEOM POM
4003605;DICLOF DIETILAMONIO
4003606;DICLOF POT
4003607;FLUCONAZOL 150MG
4003608;METRONID+NISTAT CREME
4003609;MICONAZOL CR
4003610;SIMETICONA 125MG
4003611;SIMETICONA 40MG
4003612;SIMETICONA GTS
4003613;TETRACICLINA 500MG
4003614;TIMOLOL SOL
4003615;ACEBROFILINA XPE
4003616;ACEBROFILINA XPE
4003617;AMBROXOL XPE
4003618;AMBROXOL XPE
4003619;DEXCLORF XPE
4003620;AMOXICI+CLAV POT-SUSP457MG/5ML
4003621;AMOXICI+CLAV POT-SUSP457MG/5ML
4003622;CARVEDILOL 12,5MG
4003623;CARVEDILOL 6,25MG
4003624;BROMAZEPAM 3MG
4003629;PAROXETINA 20MG
4003631;RISPERIDONA 2MG
4003632;RISPERIDONA 2MG
4003634;AMOXICILINA 500MG
4003635;BACITRACINA+NEOMICIN POM
4003641;ZETSIM 10/20MG
4003643;ACEBROFILINA XPE
4003645;ABLOK PLUS
4003650;ALIVIUM 400MG
4003652;CALCITRAN D3
4003653;GARASONE SOL
4003654;GLAUB SOL
4003655;PLURAIR NASAL
4003656;VENALOT C/30CP
4003658;CLENIL HFA
4003659;CALCITRAN MDK
4003660;PANTOPRAZOL 20MG
4003661;DEXCLORF+BETAM XPE
4003662;DIPIRONA SODICA
4003665;DUSPATALIN 200MG
4003666;RITMONORM 300MG
4003668;DUSPATALIN 200MG
4003669;PIASCLEDINE 300MG
4003670;SINTOCALMY 300MG
4003671;SINTOCALMY 600MG
4003673;ARTROLIVE C/90CP
4003675;OSTEOBAN 150MG
4003676;ARISTAB 10MG
4003677;ARISTAB 15MG
4003678;DUO-TRAVATAN BAK
4003679;VITALUX PLUS
4003680;TRAVATAN BAK
4003681;SYSTANE LID
4003682;SYMBICORT TURBO
4003683;SYMBICORT TURBO
4003684;SEROQUEL XRO
4003685;SEROQUEL XRO
4003686;SEROQUEL XRO
4003687;VANNAIR 6/200MCG
4003688;ATACAND COMB
4003689;CRESTOR 40MG
4003690;BRILINTA 90MG
4003691;CRESTOR 5MG
4003692;NEBIDO 250MG/ML
4003693;XARELTO 10MG
4003694;XARELTO 10MG
4003695;XARELTO 20MG
4003696;ALLURENE C/28CP
4003697;YAZ C/24+4CP
4003698;PANTOGAR C/90CP
4003699;LIPLESS C/90CP
4003701;ALENIA 12/400MCG
4003705;LIPISTAT 20MG
4003706;RUSOVAS 10MG
4003707;RUSOVAS 20MG
4003708;QUEROPAX 100MG
4003709;ESCILEX 10MG
4003711;QUEROPAX 25MG
4003712;RUSOVAS 5MG
4003713;CYMBI 30MG
4003714;CYMBI 60MG
4003716;RUSOVAS 10MG
4003717;DALYNE 3MG+0,03MG
4003718;NIKI 3MG+0,02MG
4003719;NIKI 3MG+0,02MG
4003720;ESCILEX 15MG
4003721;ORLIPID 120MG
4003722;ORLIPID 120MG
4003723;CYMBI 60MG
4003724;CYMBI 30MG
4003725;PIETRA ED
4003726;LUGANO 12MCG+250MCG
4003727;LUGANO 12MCG+250MCG
4003728;TEGRETOL CR
4003729;TEGRETOL CR
4003730;TEGRETOL CR
4003731;DIOVAN 160MG
4003732;DIOVAN 80MG
4003733;DIOVAN HCT
4003734;EXELON 3MG
4003735;EXELON 4,5MG
4003736;EXELON 6MG
4003738;FORASEQ 12/400MCG
4003739;TRILEPTAL 300MG
4003740;TRILEPTAL 300MG
4003741;TRILEPTAL 600MG
4003742;TRILEPTAL 600MG
4003743;LEPONEX 100MG
4003744;DIOVAN HCT
4003746;DIOVAN 320MG
4003748;TEGRETOL CR
4003749;RITALINA LA
4003750;DIOVAN AMLO
4003751;DIOVAN AMLO
4003752;DIOVAN AMLO
4003753;DIOVAN AMLO
4003754;EXELON PATCH5
4003755;EXELON PATCH10
4003756;DIOVAN HCT
4003757;STALEVO 100/25/200MG
4003758;EXELON PATCH15
4003759;RITALINA LA
4003760;ONBRIZE 150MCG
4003761;ONBRIZE 300MCG
4003762;ROSULIB 10MG
4003763;ROSULIB 20MG
4003764;EXFORGE HTC
4003765;EXFORGE HTC
4003766;EXFORGE HTC
4003767;XALACOM C/2,5ML
4003768;FRONTAL 2MG
4003769;FRONTAL XR
4003770;FRONTAL XR
4003772;LYRICA 75MG
4003773;FRONTAL SL
4003774;ELIQUIS 5,0MG
4003775;ELIQUIS 5,0MG
4003776;ELIQUIS 2,5
4003777;ELIQUIS 2,5
4003780;NORVASC 10MG
4003781;NORVASC 5MG
4003782;CITALOR 20MG
4003783;LIPITOR 40MG
4003784;LIPITOR 80MG
4003787;CELEBRA 200MG
4003788;OLMETEC 40MG
4003790;OLMETEC HCT
4003791;CARDURAN XL
4003793;ERANZ 10MG
4003794;DETRUSITOL LA
4003795;PRISTIQ 50MG
4003796;PRISTIQ 100MG
4003797;OLMETEC ANLO
4003798;OLMETEC ANLO
4003799;OLMETEC ANLO
4003800;EFEXOR XR
4003801;EFEXOR XR
4003811;DIUPRESS 25MG
4003812;MIRUGELL SOL
4003813;MOVIMENT C
4003814;NESINA 25MG
4003815;QUETROS 25MG
4003816;QUETROS 100MG
4003817;VALDOXAN 25MG
4003818;FLEBON 50MG
4003819;FIXARE C/60CP
4003822;HIDRAFEMME GEL
4003823;APLAUSE ADT
4003824;MATERSUPRE C/30CP
4003826;SIGMATRIOL 0,25MCG
4003827;CANDESARTANA CILE
4003829;DICLIN C/63CP
4003830;HBACTER IBP
4003831;SOFTALM C/1FRX5ML
4003832;GASTROL LARANJA
4003833;GASTROL LIMAO
4003837;EFURIX CREME
4003839;CONCOR 1,25MG
4003840;CONCOR 5MG
4003841;CONCOR 10MG
4003844;PRESSALIV C/1FRX5ML
4003845;HIRUDOID 500MG
4003846;HIRUDOID 300
4003847;AMOXICILINA 250MG
4003848;CLENIL HFA
4003849;PROMESTRIENO 10MG/G
4003850;AFRIN INF
4003851;AFRIN ADT
4003852;LUCIARA CREME
4003853;IODARA 200
4003854;STILNOX CR
4003857;DICLIN C/21CP
4003860;ENTEROGERMINA 10FRA
4003870;SUPREMA 1M/2MG
4003880;PROEPA UNI
4003890;GASTROGEL FRESH
4003894;BUPROVIL 300MG
4003900;TESTE ACTION
4003912;OPTIVE UD
4003913;MAGNACAL C/30CP
4003915;CALCITRAN MDK
4003916;MONURIL GRANULADO
4003917;QUET XR
4003918;URSACOL 150MG
4003919;PURAN T4
4003920;VITERGYL C
4003922;BONVIVA 150MG
4003930;BIOFENAC DI
4003931;BIOFENAC DI
4003940;FORTEN POL.ACIDOS
4003941;BRASART BCC
4003943;DOBEVEN 500MG
4003947;MOBILITY 10G
4003949;ASSERT 100MG
4003952;QUETROS 25MG
4003953;MESACOL MMX
4003954;MIRUGELL SOL
4003955;FITOSCAR POMADA
4003958;ZINA 5MG
4003959;CALCITRAN D3
4003960;CEDUR RETARD
4003962;PLURAIR NASAL
4003963;GRACIAL C/22CP
4003964;FLUTINOL SUSP
4003966;SLOW-K 600MG
4003967;TRIVAGEL-N CRM
4003969;VICK 44E
4003970;SIBLIMA C/24CP
4003971;DRENISON N
4003972;AKINETON RETARD
4003973;AKINETON 2MG
4003974;VENALOT C/60CP
4003975;SINVASTACOR 20MG
4003976;CIPROFAR 500MG
4003978;MONURIL GRANULADO
4003980;FORTEN POL
4003990;CITONEURIN 5000MG
4003993;DIPROSONE LOCAO
4004000;AMOXICILINA 875MG
4004031;CITALOPRAM 20MG
4004032;ISKEMIL 6MG
4004040;LEUCOGEN 80MG
4004050;ACETILCISTEINA 20MG
4004051;ACETILCISTEINA 20MG
4004052;ALPRAZOLAM 1MG
4004053;AMOXICILINA 250MG
4004054;AMOXICILINA 500MG
4004055;AMPICILINA 500MG
4004056;ATORVASTATINA CALCICA
4004057;BETAISTINA DICLOR
4004058;BETAISTINA DICLOR
4004059;BETAMETASONA DIP+FOS
4004060;BUPROPIONA 150MG
4004062;CLONAZEPAM 2MG
4004063;FENTICONAZOL 0,02
4004064;GLIMEPIRIDA 2MG
4004065;GLIMEPIRIDA 4MG
4004066;INDAPAMIDA 1,5MG
4004067;IRBESARTANA +
4004068;IRBESARTANA +
4004069;ISOCONAZOL NITR
4004070;ISOCONAZOL NITR
4004071;ITRACONAZOL 100MG
4004072;LEVOCETIRIZINA DICLOR
4004073;MEMANTINA CLOR
4004074;MONTELUCASTE 10MG
4004075;MOXIFLOXACINO 400MG
4004076;PANTOPRAZOL 40MG
4004078;PARACETAMOL 500MG
4004079;PROPAFENONA 300MG
4004080;QUETIAPINA 100MG
4004081;QUETIAPINA 200MG
4004082;SILDENAFILA CITR
4004083;SILDENAFILA CITR
4004084;TADALAFILA 20
4004085;TADALAFILA 20MG
4004086;TADALAFILA 20
4004087;TRIANCINOLONA +
4004088;TRIANCINOLONA +
4004089;TRIMEBUTINA MAL
4004092;AD-MUC POMADA
4004096;CLAVULIN BD
4004097;COZAAR 50MG
4004099;CRONOBE 5000MCG
4004103;HYZAAR 100/25MG
4004104;HYZAAR 50/12,5MG
4004105;MAXIDRATE GEL
4004106;MODURETIC 50MG/5MG
4004107;MODURETIC 25/2,5MG
4004108;MYLICON GOTAS
4004109;NIMEGON 100MG
4004110;NIMEGON 50MG
4004111;NIMEGON MET
4004112;NIMEGON MET
4004113;NIMEGON MET
4004114;NOOTROPIL 800MG
4004115;OXOTRON 60MG
4004116;PROS 2MG
4004117;PROS-HP 2MG+5MG
4004118;QUELATUS C/60CP
4004119;REFORGAN 250MG
4004120;REHIDRAT 50
4004121;REHIDRAT NAT
4004122;ROXETIN 20MG
4004123;SONRISAL LIMAO.C/30ENVX2CP
4004124;STILGRIP GRANULADO
4004125;TARFIC 0,3MG/G
4004126;TARFIC 1,0MG/G
4004127;TRIADE C/60CAPS
4004130;PAROXETINA 20MG
4004141;ALPRAZOLAM 1MG
4004150;BRONQTRAT INF
4004151;NAPROXENO 500MG
4004155;ADDERA D3
4004160;COGLIVE 8
4004161;FLOGORAL COLUTORIO
4004170;CLORIDRATO DE
4004180;ACEVITON 1
4004181;ACEVITON KIDS
4004182;ACIDO ACETILSALICILICO
4004183;AMBROXMEL SPR
4004184;AMBROXMEL 3MG-ML
4004185;AMBROXMEL 6MG-ML
4004186;CETO +
4004187;CIFLOGEX 3,0MG
4004188;CIFLOGEX 3MG
4004189;CIFLOGEX SPRAY
4004190;CIMECORT CR
4004191;CIMEGRIPE 77C
